id,name,description,detail,summary,category,price,brand,image_count,review_count,url
20,OPPO Find N6 16GB 512GB,,,"OPPO Find N6 sở hữu chip Snapdragon 8 Elite Gen 5 tân tiến, camera 200MP, hỗ trợ bút AI. Nhận quà 15 triệu, trả góp 0%, mua giao ngay 2h!",dien-thoai,,,1,0,https://cellphones.com.vn/dien-thoai-oppo-find-n6.html
21,POCO X8 Pro Max 12GB 256GB,,,"Poco X8 Pro Max 12GB/256GB: Chip Dimensity 9500s, pin 8.500mAh, sạc 100W,  màn 6.83 inch. Mua ngay Poco X8 Pro Max giá rẻ tại CellphoneS.",dien-thoai,,,2,0,https://cellphones.com.vn/dien-thoai-xiaomi-poco-x8-pro-max.html
22,Samsung Galaxy S26 Ultra 12GB 512GB,,,"Mua Samsung Galaxy S26 Ultra 512GB chính hãng giá rẻ - Giảm đến 16,5 triệu, Trợ giá lên đời tặng BHMR 12 tháng, Sim data. Mua S26 Ultra 512GB tại đây.",dien-thoai,,,2,0,https://cellphones.com.vn/dien-thoai-samsung-galaxy-s26-ultra-12gb-512gb.html
23,HONOR X9d 12GB 512GB,,,"Điện thoại Honor X9d chính hãng giá rẻ - Thu cũ đổi mới trợ giá 1tr. Tặng Honor Ultimate Care bảo hành 24 tháng, đổi mới 100 ngày, trả góp 0%.",dien-thoai,,,2,0,https://cellphones.com.vn/dien-thoai-honor-x9d.html
24,Nothing Phone 2A Plus 5G 12GB 256GB,,,"Điện thoại Nothing Phone 2A Plus chính hãng, BH 12 tháng, lỗi 1 đổi 1 trong 3 tháng, trả góp 0%. Mua ngay Nothing Phone 2A Plus giao hàng nhanh.",dien-thoai,,,2,0,https://cellphones.com.vn/dien-thoai-nothing-phone-2a-plus.html
25,Tecno Pova 7 8GB 128GB,,,"Điện thoại Tecno Pova 7 chính hãng giá rẻ, giảm thẳng 500.000đ, thu cũ đổi mới, bảo hành 12 tháng, đổi mới 30 ngày, trả góp 0%. Mua ngay Pova 7 tại đây.",dien-thoai,,,2,0,https://cellphones.com.vn/dien-thoai-tecno-pova-7.html
26,Tecno Pova 7 8GB 256GB,,,"Mua TECNO POVA 7 8GB 256GB giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",dien-thoai,,,2,0,https://cellphones.com.vn/dien-thoai-tecno-pova-7-256gb.html
27,iPhone 17 Pro 256GB | Chính hãng,,,"iPhone 17 Pro (256GB, 512GB, 1TB) giá tốt, chip A19 Pro, màu cam đẹp. thu cũ trợ giá giảm đến 7,5 triệu, trả góp 0% 12 tháng - Mua ip17pro ngay!",dien-thoai,,,2,0,https://cellphones.com.vn/iphone-17-pro.html
28,iPhone 17 Pro Max 256GB | Chính hãng,,,"Điện thoại iPhone 17 Pro Max 256GB/ 512GB/ 1TB/ 2TB - Kích thước màn hình. 6.9 inches, giá dao động từ 34 triệu, pin trâu 37h - Mua 17 promax ngay",dien-thoai,,,2,0,https://cellphones.com.vn/iphone-17-pro-max.html
29,Samsung Galaxy S26 Ultra 12GB 256GB,,,"Samsung Galaxy S26 Ultra 12GB/256GB giảm đến 8 triệu, thu cũ trợ giá 5 triệu, trả góp 0% lãi suất, giao toàn quốc. Xem thêm giá S26 Ultra tại đây.",dien-thoai,,,2,0,https://cellphones.com.vn/dien-thoai-samsung-galaxy-s26-ultra.html
