id,product_id,image_url
56,17,https://cdn2.cellphones.com.vn/media/catalog/product/j/s/jscnkscmns_1_2_1.jpg
57,17,https://cdn2.cellphones.com.vn/200x/media/catalog/productno_selection
58,17,https://cellphones.com.vn/media/catalog/product/c/p/cps-25-03_26_.png
59,17,https://cellphones.com.vn/media/catalog/product/j/s/jscnkscmns_1_2_1.jpg
60,18,https://cdn2.cellphones.com.vn/media/catalog/product/g/i/gia-do-tan-nhiet-ipad-dien-thoai-rain-design-mstand_1_.png
61,18,https://cellphones.com.vn/media/catalog/product/g/i/gia-do-tan-nhiet-ipad-dien-thoai-rain-design-mstand_2__1.png
62,18,https://cellphones.com.vn/media/catalog/product/g/i/gia-do-tan-nhiet-ipad-dien-thoai-rain-design-mstand_1_.png
63,19,https://cdn2.cellphones.com.vn/media/catalog/product/g/i/gia-do-tan-nhiet-laptop-macbook-rain-design-mbar-pro-foldable-space_1_.png
64,19,https://cellphones.com.vn/media/catalog/product/g/i/gia-do-tan-nhiet-laptop-macbook-rain-design-mbar-pro-foldable-space_2__1.png
65,19,https://cellphones.com.vn/media/catalog/product/g/i/gia-do-tan-nhiet-laptop-macbook-rain-design-mbar-pro-foldable-space_1_.png
66,20,https://cdn2.cellphones.com.vn/media/catalog/product/g/i/gia-do-tan-nhiet-laptop-macbook-rain-design-mbar-space-grace_1_.png
67,20,https://cellphones.com.vn/media/catalog/product/g/i/gia-do-tan-nhiet-laptop-macbook-rain-design-mbar-space-grace_2__1.png
68,20,https://cellphones.com.vn/media/catalog/product/g/i/gia-do-tan-nhiet-laptop-macbook-rain-design-mbar-space-grace_1_.png
69,21,https://cdn2.cellphones.com.vn/media/catalog/product/g/r/group_744_2__8_2_2.png
70,21,https://cellphones.com.vn/media/catalog/product/c/p/cps-25-03_45_.png
71,21,https://cellphones.com.vn/media/catalog/product/g/r/group_744_2__8_2_2.png
72,22,https://cdn2.cellphones.com.vn/media/catalog/product/l/a/laptop-acer-aspire-lite-15-al15-51m-55nb-nxkrssv001_2_.png
73,22,https://cellphones.com.vn/media/catalog/product/l/a/laptop-acer-aspire-lite-15-al15-51m-55nb-nxkrssv001_1.png
74,22,https://cellphones.com.vn/media/catalog/product/l/a/laptop-acer-aspire-lite-15-al15-51m-55nb-nxkrssv001_2_.png
75,23,https://cdn2.cellphones.com.vn/media/catalog/product/g/r/group_789_2.png
76,23,https://cellphones.com.vn/media/catalog/product/c/p/cps-25-03_46_.png
77,23,https://cellphones.com.vn/media/catalog/product/g/r/group_789_2.png
78,24,https://cdn2.cellphones.com.vn/media/catalog/product/g/r/group_744_1_54_1_1.png
79,24,https://cellphones.com.vn/media/catalog/product/c/p/cps-25-03_34_.png
80,24,https://cellphones.com.vn/media/catalog/product/g/r/group_744_1_54_1_1.png
81,25,https://cdn2.cellphones.com.vn/media/catalog/product/g/r/group_744_1_56_4.png
82,25,https://cellphones.com.vn/media/catalog/product/c/p/cps-25-03_37_.png
